Category,Reference,Value
Diodes,"D1",MBR1545
Diodes,"D2",MBR1545
Diodes,"D3",1N4004
Diodes,"D4",1N4004
Diodes,"D5",1N4004
Diodes,"D6",1N4004
Miscellaneous,"FU1",15A
Miscellaneous,"FU2",15A
Miscellaneous,"J1",TBLOCK-M2
Miscellaneous,"J2",TBLOCK-M2
Miscellaneous,"J3",TBLOCK-M2
Miscellaneous,"J4",TBLOCK-M2
Miscellaneous,"J5",TBLOCK-M2
Miscellaneous,"VR1",VARISTOR
